Time (ms),Temperature (°C),Humidity (%),CO2 (ppm),Ethylene (ppm),Ammonia (ppm),Red,Green,Blue,Clear,Color Temp (K),Absorption,Emission
Time(ms),Temperature(°C),Humidity(%),CO2(ppm),Ethylene(ppm),Ammonia(ppm),Red,Green,Blue,Clear,Color Temp(K),Absorption,Emission
5848,31.30,64.00,74.37,59.49,44.62,4,5,5,16,10580,0.03,0.88
18979,31.70,64.00,267.25,213.80,160.35,4,5,5,16,10580,0.03,0.88
32110,32.30,63.00,300.59,240.47,180.35,4,5,5,16,10580,0.03,0.88
45242,32.00,63.00,300.59,240.47,180.35,4,5,5,16,10580,0.03,0.88
58374,32.70,63.00,55.28,44.22,33.17,4,5,5,15,10580,0.00,0.93
71504,32.80,62.00,104.76,83.81,62.85,4,5,5,16,10580,0.03,0.88
84635,32.20,62.00,95.88,76.71,57.53,4,5,5,16,10580,0.03,0.88
97766,32.00,62.00,75.91,60.73,45.55,4,5,5,16,10580,0.03,0.88
110897,32.30,62.00,231.96,185.57,139.17,5,5,5,17,8890,0.03,0.88
124028,32.70,62.00,202.43,161.94,121.46,5,5,5,17,8890,0.03,0.88
137160,32.60,62.00,53.21,42.57,31.93,5,6,5,18,6219,0.02,0.89
150291,31.20,62.00,138.40,110.72,83.04,5,6,5,18,6219,0.02,0.89
163422,31.30,62.00,58.56,46.85,35.13,5,6,5,18,6219,0.02,0.89
176552,31.50,62.00,182.19,145.75,109.31,5,6,5,18,6219,0.02,0.89
189683,31.60,62.00,152.59,122.07,91.55,5,5,5,17,8890,0.03,0.88
202814,31.60,62.00,100.20,80.16,60.12,4,5,5,16,10580,0.03,0.88
215946,31.40,62.00,62.08,49.67,37.25,4,5,5,16,10580,0.03,0.88
229076,31.10,62.00,141.78,113.43,85.07,4,5,5,16,10580,0.03,0.88
242209,31.60,62.00,128.84,103.07,77.30,4,5,5,16,10580,0.03,0.88
255340,31.20,62.00,187.00,149.60,112.20,4,5,5,16,10580,0.03,0.88
268471,31.00,62.00,135.11,108.09,81.07,4,5,5,16,10580,0.03,0.88
